Date,BTC-USD,TSLA
2025-02-20,98333.9375,354.3999938964844
2025-02-21,96125.546875,337.79998779296875
2025-02-22,96577.7578125,
2025-02-23,96273.921875,
2025-02-24,91418.171875,330.5299987792969
2025-02-25,88736.171875,302.79998779296875
2025-02-26,84347.0234375,290.79998779296875
2025-02-27,84704.2265625,281.95001220703125
2025-02-28,84373.0078125,292.9800109863281
2025-03-01,86031.9140625,
2025-03-02,94248.3515625,
2025-03-03,86065.671875,284.6499938964844
2025-03-04,87222.1953125,272.0400085449219
2025-03-05,90623.5625,279.1000061035156
2025-03-06,89961.7265625,263.45001220703125
2025-03-07,86742.671875,262.6700134277344
2025-03-08,86154.59375,
2025-03-09,80601.0390625,
2025-03-10,78532.0,222.14999389648438
2025-03-11,82862.2109375,230.5800018310547
2025-03-12,83722.359375,248.08999633789062
2025-03-13,81066.703125,240.67999267578125
2025-03-14,83969.1015625,249.97999572753906
2025-03-15,84343.109375,
2025-03-16,82579.6875,
2025-03-17,84075.6875,238.00999450683594
2025-03-18,82718.5,225.30999755859375
2025-03-19,86854.2265625,235.86000061035156
2025-03-20,84167.1953125,236.25999450683594
2025-03-21,84043.2421875,248.7100067138672
2025-03-22,83832.484375,
2025-03-23,86054.375,
2025-03-24,87498.9140625,278.3900146484375
2025-03-25,87471.703125,288.1400146484375
2025-03-26,86900.8828125,272.05999755859375
2025-03-27,87177.1015625,273.1300048828125
2025-03-28,84353.1484375,263.54998779296875
2025-03-29,82597.5859375,
2025-03-30,82334.5234375,
2025-03-31,82548.9140625,259.1600036621094
2025-04-01,85169.171875,268.4599914550781
2025-04-02,82485.7109375,282.760009765625
2025-04-03,83102.828125,267.2799987792969
2025-04-04,83843.8046875,239.42999267578125
2025-04-05,83504.796875,
2025-04-06,78214.484375,
2025-04-07,79235.3359375,233.2899932861328
2025-04-08,76271.953125,221.86000061035156
2025-04-09,82573.953125,272.20001220703125
2025-04-10,79626.140625,252.39999389648438
2025-04-11,83404.8359375,252.30999755859375
2025-04-12,85287.109375,
2025-04-13,83684.9765625,
2025-04-14,84542.390625,252.35000610351562
