,MARKET,SMB,HML,RMW,CMA,regime
MARKET,0.00033721193161290294,4.887846838709663e-05,-6.144181419354837e-05,-5.189537161290319e-05,-5.9088387096807886e-08,0
SMB,4.887846838709663e-05,0.00014298103483870948,8.290906580645144e-05,-1.2638647741935477e-05,1.262061419354837e-05,0
HML,-6.144181419354837e-05,8.290906580645144e-05,0.00024355856516128987,5.9429466451612744e-05,2.9398290967741866e-05,0
RMW,-5.189537161290319e-05,-1.2638647741935477e-05,5.9429466451612744e-05,5.0789970322580556e-05,2.2030659999999942e-05,0
CMA,-5.9088387096807886e-08,1.262061419354837e-05,2.9398290967741866e-05,2.2030659999999942e-05,5.6485597419354735e-05,0
MARKET,0.0002302011281708942,1.899886960391628e-05,-9.595847352024904e-05,-4.8688266577659014e-05,-7.026789052069413e-05,1
SMB,1.899886960391628e-05,3.328568526150798e-05,-1.9848984152783323e-05,-2.2905670749404934e-05,-1.6741626129525307e-05,1
HML,-9.595847352024904e-05,-1.9848984152783323e-05,0.00014291634565894598,5.074495597995383e-05,8.183080861438419e-05,1
RMW,-4.8688266577659014e-05,-2.2905670749404934e-05,5.074495597995383e-05,7.139321462432989e-05,3.22807792031887e-05,1
CMA,-7.026789052069413e-05,-1.6741626129525307e-05,8.183080861438419e-05,3.22807792031887e-05,6.771331088794705e-05,1
MARKET,4.845398411658282e-05,1.3315548216644624e-05,-5.4960185672509e-06,-1.1812087221116512e-05,-4.69454430591521e-06,2
SMB,1.3315548216644624e-05,5.102729194187569e-05,1.7943170409511183e-05,-1.8473804491413422e-05,6.835455746367216e-06,2
HML,-5.4960185672509e-06,1.7943170409511183e-05,4.89428082836358e-05,9.045103397315438e-06,1.5352126694387933e-05,2
RMW,-1.1812087221116512e-05,-1.8473804491413422e-05,9.045103397315438e-06,3.107861437489317e-05,1.323866080173433e-06,2
CMA,-4.69454430591521e-06,6.835455746367216e-06,1.5352126694387933e-05,1.323866080173433e-06,1.7906274681686756e-05,2
